,MedHouseVal
7061,1.938
14689,1.697
17323,2.598
10056,1.361
15750,5.00001
15283,2.813
18551,2.161
7555,1.174
15700,5.00001
12364,1.042
7552,1.281
2478,0.647
1197,0.735
18932,1.702
18438,2.412
19570,0.815
13563,0.974
8442,2.3
1808,1.563
18172,3.352
15258,3.246
7085,1.758
17385,1.373
263,1.214
9675,2.427
19887,0.662
19046,1.665
12308,1.635
18906,1.219
19500,0.983
1571,3.866
13019,1.39
14390,2.382
7417,1.538
18596,2.143
11727,0.936
6180,2.07
20476,2.041
13266,1.488
1370,1.961
3090,0.969
19362,2.954
5038,2.076
20093,0.889
8140,2.219
10684,5.00001
11293,1.934
14558,3.225
17132,1.89
10551,3.074
13321,0.918
16647,2.589
14781,1.607
6480,1.86
8629,4.7
6013,1.148
15903,2.849
8231,1.438
17628,2.307
18479,3.008
15164,1.601
6826,2.383
18535,2.328
5987,2.912
6753,4.148
17233,3.877
12241,0.862
16210,0.55
17729,2.413
8254,1.911
1976,1.0
10925,1.392
1442,1.923
16367,1.048
8377,1.375
2309,1.082
18830,0.544
1766,1.353
20203,2.35
10051,1.632
10162,3.413
15455,1.606
1488,2.205
4907,1.268
8771,3.277
12405,0.967
13939,1.104
10697,1.865
7976,1.614
18863,1.246
14637,1.684
8141,2.182
6625,1.668
4638,3.5
16229,0.874
10747,0.938
13315,1.125
9570,0.689
11687,1.611
1655,4.277
9202,1.223
2861,1.43
5431,3.1
5908,1.555
2531,0.697
2183,0.906
20251,2.188
3322,0.75
19358,1.388
13754,2.831
10140,1.25
18358,5.00001
5903,1.618
18509,2.815
4812,1.932
2126,0.759
19900,0.646
19349,2.462
1011,1.725
8962,4.857
2088,0.59
18367,3.187
981,2.825
20233,5.00001
8295,4.0
13495,0.792
4834,1.528
9246,0.528
5267,5.00001
8889,3.833
8452,2.645
1246,1.125
18590,3.158
2074,0.488
1483,1.82
8048,2.192
16441,1.018
15779,3.5
3290,0.533
20258,1.493
914,2.222
9299,3.973
18831,0.654
16116,2.681
8796,5.00001
19433,1.291
12539,1.511
7430,1.608
20167,2.347
17576,2.464
20560,1.469
10801,5.00001
18748,1.184
2432,0.932
17584,2.528
5771,2.171
11339,1.741
3387,2.933
17523,2.095
10250,2.014
19218,2.029
7538,1.102
8351,1.835
3813,1.899
796,1.76
11822,1.507
18232,3.519
8565,3.46
7449,1.675
2619,0.701
8863,5.00001
11150,1.868
1748,1.337
11165,1.99
9273,4.232
5309,3.167
1122,1.049
3101,1.094
19750,0.519
84,1.188
13096,1.575
17863,1.741
14491,5.00001
9610,0.576
15741,2.75
11660,1.901
3099,0.819
12837,0.973
10662,2.742
12350,0.948
13471,1.126
11444,2.647
6712,5.00001
15049,1.932
5700,2.177
13432,0.995
17808,2.737
10505,5.00001
7974,1.555
7527,1.038
14319,0.9
12606,0.845
5118,0.99
2231,1.119
9347,2.922
14479,4.457
3053,0.719
11696,1.605
6974,1.656
9248,0.965
8658,3.662
11143,1.354
1592,2.944
17203,3.404
4850,1.479
6545,1.575
11677,2.03
20206,2.343
10934,1.11
19022,1.268
11488,2.956
3221,0.581
13846,0.98
9542,0.888
5625,1.673
3546,2.621
14320,1.625
2404,0.52
11912,1.125
12052,1.382
8704,3.141
3369,0.607
11253,1.531
9690,1.575
20002,0.425
8551,2.375
9659,0.44
17672,1.125
6329,3.304
16922,2.879
1904,1.276
10439,2.438
14659,1.774
14679,2.481
20110,1.379
5638,2.852
434,1.793
2528,1.25
8361,1.892
4856,1.121
10440,3.413
20223,1.868
