,MedHouseVal
6262,1.581
14997,1.339
5480,3.25
15844,3.243
17684,0.875
3938,2.282
13263,1.453
19934,0.889
4930,0.985
9149,2.394
11729,1.393
9358,4.357
10951,1.375
2747,0.972
11068,2.717
8982,3.143
11247,1.538
8607,3.386
12332,0.852
4873,0.388
7168,1.426
3225,0.705
19695,1.175
179,1.228
5829,3.435
4524,1.516
8396,2.625
10596,3.067
1461,1.841
19076,2.421
5984,2.618
13275,1.228
11756,2.731
4253,2.25
1068,0.889
3594,2.539
7141,2.082
3610,1.838
19196,1.783
1039,1.219
1584,3.982
6692,5.00001
17731,1.865
8389,1.958
1855,0.783
7750,1.984
6381,4.554
16847,2.736
4089,3.714
18125,4.123
15618,5.00001
1883,1.185
17071,3.66
16070,2.978
14665,1.663
3600,3.19
9122,1.381
7050,1.415
19248,1.617
9105,0.992
944,2.422
20150,1.899
10243,2.708
6210,1.72
10265,2.422
13031,1.71
9421,4.786
9330,2.125
8867,5.00001
9637,1.563
6302,1.911
9533,1.232
14127,0.95
2318,0.714
7576,1.268
1082,1.125
20320,1.868
10408,1.903
6686,2.092
9049,1.385
14434,2.417
17072,0.875
12519,0.685
16100,2.742
13476,1.307
9844,3.01
4956,1.232
11933,0.813
20623,0.655
10881,2.333
19424,1.313
11482,2.509
6525,1.761
851,2.147
11948,1.037
5071,1.08
18176,3.683
6099,1.827
13456,1.327
18427,1.234
18938,1.977
2434,0.624
9259,0.661
12780,0.774
4294,1.625
10218,1.191
17239,2.281
6632,1.554
20491,1.918
11109,1.862
19670,1.065
38,1.914
20210,4.043
17350,1.64
10397,1.844
14073,1.281
1383,2.054
10381,2.38
1658,2.88
15635,4.5
7205,1.367
16619,2.781
1942,1.701
3654,1.755
13026,1.458
6944,1.607
16655,1.926
17919,2.389
17304,2.487
19544,0.65
7275,1.188
6655,1.695
1285,0.964
11220,1.575
3739,2.402
416,3.356
11652,3.285
14590,2.125
20539,1.641
7786,1.55
12133,1.526
14301,1.688
13209,1.07
4039,5.00001
6162,2.012
18818,0.625
661,1.872
17354,1.582
20471,1.969
11687,1.611
19501,0.755
4454,1.458
9502,1.01
14921,0.981
15524,1.5
6603,1.535
19227,3.309
589,1.958
6875,1.866
13660,1.231
9586,1.216
12218,1.83
13426,1.375
20470,2.15
12604,0.654
5077,0.972
7644,1.911
4425,1.375
3241,0.421
15642,4.2
19504,1.06
18803,1.01
4758,1.271
8402,1.485
19464,1.609
16824,2.639
11399,3.182
17131,3.086
