,MedHouseVal
18962,1.263
10469,2.513
3078,2.164
3659,1.813
11468,2.714
11740,2.165
1397,1.971
16614,3.208
6149,1.601
17514,3.011
16238,0.983
15136,1.78
8291,5.00001
17108,5.00001
9561,1.102
11084,2.326
12903,1.422
6722,4.797
13811,0.704
10753,5.00001
8489,1.775
14586,1.72
18872,1.719
11006,4.39
14694,0.735
9812,2.257
2399,0.944
13793,1.265
14471,2.05
5406,3.438
4842,1.688
5509,2.15
7800,1.535
401,2.322
2068,0.813
17313,4.0
6100,1.688
19865,2.391
5103,1.2
8191,2.324
16186,0.225
20622,0.67
17703,1.775
16212,0.872
14415,2.75
332,0.972
4366,4.216
1728,0.675
19003,1.583
4489,1.25
11752,2.392
8451,2.414
14149,1.113
10026,1.138
17543,1.835
6417,1.856
10470,3.24
12406,1.993
16755,2.321
7106,2.01
10715,2.25
15689,5.00001
13086,1.341
1366,1.448
16442,1.108
11276,1.802
3803,2.265
14748,1.327
901,2.364
2004,0.75
7416,1.535
9492,1.054
9755,3.901
12251,0.694
14437,1.125
4758,1.271
13270,1.515
574,2.917
13904,0.733
7767,1.644
9477,0.96
15986,3.296
3068,0.573
10527,4.538
12368,2.85
4425,1.375
16950,4.531
655,1.817
16805,2.467
18412,1.844
11737,1.39
8349,1.375
15282,3.313
17697,1.786
5264,5.00001
2255,0.808
18736,0.981
4332,2.2
19508,1.25
4309,2.088
2955,0.76
13604,0.98
16147,4.146
6468,2.743
2400,1.0
769,1.938
18445,2.518
13744,1.08
12492,1.141
11839,0.835
1204,0.813
13155,1.462
11399,3.182
11337,1.907
14385,3.674
11544,3.388
6277,1.629
7483,1.25
6594,5.00001
10221,1.75
5659,2.939
5120,1.174
17559,1.693
5660,3.5
10718,2.504
13835,1.185
4015,4.507
10726,4.421
2005,0.518
14696,1.712
15972,2.178
16496,1.413
16072,3.212
9876,1.404
968,2.969
17991,2.343
1041,0.991
6470,2.659
6001,1.469
6807,2.58
10454,5.00001
1146,0.625
5211,0.906
17643,2.636
256,1.0
8793,5.00001
5672,3.119
17710,1.81
19834,0.59
14778,1.353
18224,2.647
14003,0.777
3565,2.219
8622,3.376
16611,2.069
17242,3.643
19646,1.607
13264,1.5
13985,0.556
20118,0.994
14722,2.2
6424,1.669
11146,1.911
4181,1.813
16325,1.5
8249,1.402
15758,4.889
8709,3.542
7021,1.567
13245,2.427
17449,2.231
16583,1.648
3163,0.535
4005,3.674
3910,1.911
202,1.125
16694,1.781
2556,1.161
19805,0.675
14992,1.254
6899,2.205
10890,1.505
3991,3.382
18302,2.65
10078,1.456
17606,2.866
19857,0.48
3834,2.325
14744,1.565
11173,2.009
6725,5.00001
6067,2.621
2631,0.79
137,3.659
16288,0.814
2607,1.027
9572,1.013
5156,0.967
12328,0.682
8392,1.425
854,2.375
15250,2.447
17766,1.375
1689,1.848
1886,0.904
6686,2.092
12588,2.166
2020,0.513
13891,0.81
14102,1.034
289,1.44
