,MedHouseVal
1296,1.508
3492,2.271
9576,1.25
16045,2.216
10432,2.31
2619,0.701
10577,2.738
5601,1.655
7721,2.554
7142,1.851
17114,3.417
10548,2.075
11387,2.113
17910,2.427
4121,2.915
3686,1.757
908,2.751
1124,1.038
18826,0.554
591,2.418
843,2.544
196,0.95
6884,1.851
12924,1.657
6842,1.839
12062,1.639
19288,1.65
3650,1.851
5065,1.129
3445,1.538
19322,1.531
20097,0.933
4735,4.741
20321,2.132
10007,1.568
15786,1.875
498,1.727
17785,2.148
14685,1.774
16143,3.984
16411,1.214
19086,2.957
3501,1.723
13036,1.219
19652,0.828
13432,0.995
786,2.281
14025,2.148
13603,0.883
15012,1.414
12832,1.122
10608,2.368
16865,2.154
5891,2.469
9481,0.84
18563,1.732
13726,1.0
392,2.063
7591,0.936
13723,0.819
5516,3.572
12479,0.85
8366,1.434
14626,0.875
9070,0.869
6679,2.424
8752,3.395
11522,3.407
7890,2.842
5985,1.25
10243,2.708
8845,3.75
22,1.139
18885,0.928
10979,2.331
9384,5.00001
12246,0.876
18220,1.922
16035,2.286
14742,1.076
16583,1.648
3286,0.697
5652,2.423
14729,1.7
10757,5.00001
13117,2.138
17844,3.679
4279,1.938
16285,0.616
8209,1.159
3737,2.86
6740,3.599
7778,1.656
1012,1.792
3328,0.966
15972,2.178
19197,1.83
16284,0.678
15877,2.3
1284,0.991
11452,2.321
16746,2.386
17502,1.861
8676,2.821
18925,1.958
14599,1.875
17106,5.00001
1745,1.103
7288,1.663
12683,1.563
3254,0.439
13635,0.753
10461,2.773
1988,0.475
4876,2.25
12566,0.866
13094,0.325
1257,1.924
15452,2.478
14313,0.788
16756,3.07
4082,3.206
19015,1.22
4826,1.5
17924,2.387
18096,4.747
17087,2.553
12567,0.876
17815,3.207
18300,4.409
11672,2.141
10959,1.63
11330,1.914
13718,1.265
14167,1.583
19157,1.775
4811,1.884
4224,5.00001
645,3.673
712,1.6
2898,0.675
15512,2.224
20623,0.655
10142,2.582
6647,1.563
10032,1.211
9235,0.816
16915,5.00001
18608,3.833
1866,2.125
1735,1.341
11655,2.156
1117,0.934
11715,1.792
12438,0.675
2230,1.244
9383,4.411
20308,2.068
6632,1.554
19488,1.07
20236,1.984
11871,0.878
15046,3.071
9361,4.705
1589,4.504
6669,3.256
9287,3.508
7617,1.933
13053,1.034
9302,3.615
8605,2.819
6857,3.011
3089,0.725
9192,3.75
4266,3.4
321,0.858
4949,1.117
12837,0.973
6305,1.875
3616,1.539
4517,1.438
13924,0.669
4346,5.00001
20390,3.12
19441,1.097
7719,2.835
18467,4.126
7921,2.365
12805,0.663
1003,1.684
915,2.326
12549,0.943
11806,2.12
19554,0.541
10253,1.569
10392,2.142
16397,1.35
17238,4.638
7067,1.811
15130,1.31
17821,3.337
6099,1.827
10482,3.3
1512,2.753
8861,5.00001
9927,1.755
1827,2.201
15894,1.89
8874,5.00001
8348,1.92
14767,1.368
17723,2.837
9271,3.349
10371,2.519
3595,2.442
16946,5.00001
11376,1.521
9556,0.728
1732,1.136
4027,3.11
17904,2.712
7002,1.582
1738,1.501
6262,1.581
6254,1.526
8670,3.812
11543,2.219
7738,2.265
6252,1.573
17233,3.877
9312,4.333
18182,3.25
9775,1.255
5974,1.805
6963,1.862
6872,1.842
3137,0.398
443,2.0
6210,1.72
11964,0.978
10465,3.812
12861,0.895
11644,2.41
15931,2.302
5279,5.00001
4581,1.75
5768,2.436
20020,0.52
20549,1.222
9443,0.938
16313,1.519
7732,2.239
10800,4.391
5475,3.258
6171,1.852
9858,2.788
9198,1.065
3602,2.382
7958,1.63
15215,2.611
17368,1.865
6670,3.203
15846,3.561
2504,0.66
2357,1.738
3777,2.692
7027,1.632
18898,1.031
20635,0.781
6066,3.397
927,3.373
17906,2.645
16353,0.928
11108,2.73
343,0.828
7640,2.177
19822,0.492
6769,4.191
269,1.565
16310,1.551
14201,1.185
14076,1.5
1431,1.693
850,2.125
2794,1.375
3202,0.974
3139,0.879
13799,0.833
20070,2.175
13511,0.681
11646,2.346
17081,3.123
13641,0.731
16431,1.301
12774,0.633
235,1.26
12330,0.66
20480,1.961
6580,5.00001
12425,0.654
20079,1.153
20550,1.031
475,1.474
14118,1.326
5423,4.636
3322,0.75
8281,2.5
15254,3.767
15771,5.00001
11401,3.195
13975,0.89
17707,1.649
17168,5.00001
3276,0.95
19153,1.62
